,loss
0,0.12987813353538513
1,0.06894280761480331
2,0.06346552819013596
3,0.05538571998476982
4,0.05781484767794609
5,0.056352563202381134
6,0.0513610765337944
7,0.05157853662967682
8,0.05110263079404831
9,0.0484074130654335
10,0.0477876290678978
11,0.04653582721948624
12,0.048235632479190826
13,0.04521758481860161
14,0.04587964341044426
15,0.046083174645900726
16,0.04405295103788376
17,0.043006785213947296
18,0.04453156143426895
19,0.042007505893707275
20,0.041431982070207596
21,0.04079844430088997
22,0.041781552135944366
23,0.040045566856861115
24,0.04147019982337952
