,loss
0,0.10136710107326508
1,0.05609679967164993
2,0.05145693197846413
3,0.04791056737303734
4,0.04605931043624878
5,0.04550967738032341
6,0.04341992735862732
7,0.042481228709220886
8,0.042599763721227646
9,0.038878537714481354
10,0.0392543226480484
11,0.04125563055276871
12,0.04187081754207611
13,0.03844527527689934
14,0.038015592843294144
15,0.037671998143196106
16,0.03712082654237747
17,0.036309998482465744
18,0.03628186509013176
19,0.0359148308634758
20,0.03614119440317154
21,0.040647879242897034
22,0.03581181913614273
23,0.033336807042360306
24,0.03513627499341965
