,loss
0,0.10889054089784622
1,0.05680084601044655
2,0.055543724447488785
3,0.05302027240395546
4,0.049717016518116
5,0.049583159387111664
6,0.05277777835726738
7,0.04935116320848465
8,0.04619394242763519
9,0.04851316288113594
10,0.04618891328573227
11,0.04751335084438324
12,0.042040832340717316
13,0.04502549767494202
14,0.04190731793642044
15,0.04290454462170601
16,0.04025654494762421
17,0.0416758768260479
18,0.0403984971344471
19,0.04068358242511749
20,0.04186385124921799
21,0.039758503437042236
22,0.04096448794007301
23,0.03964319825172424
24,0.03964785113930702
